name,dosage,form,active_substance,indications,contraindications,category
Мотрин,"250 мг, 20 шт",таблетки,напроксен,Болевой синдром слабой и умеренной выраженности.,,Суставы и мышцы / Боль и воспаление
Найз Активгель,"1%, 50 г",гель для наружного применения,нимесулид 10 мг/г,Местное симптоматическое лечение заболеваний опорно-двигательного аппарата.,,Суставы и мышцы / Боль и воспаление
Нимесулид Реневал таб,100 мг ; 20 шт,таблетки,нимесулид,"боль и воспаление при заболеваниях суставов, мышц и мягких тканей",,Суставы и мышцы / Боль и воспаление
Нимесулид гель 1%,20 г,гель,нимесулид,"боль и воспаление при заболеваниях суставов, мышц и мягких тканей",,Суставы и мышцы / Боль и воспаление
Нимесулид гранулы,100 мг ; 9 шт,гранулы,нимесулид,"боль и воспаление при заболеваниях суставов, мышц и мягких тканей",,Суставы и мышцы / Боль и воспаление
Нимесулид таб,100 мг ; 20 шт,таблетки,нимесулид,"боль и воспаление при заболеваниях суставов, мышц и мягких тканей",,Суставы и мышцы / Боль и воспаление
Нимесулид таб,100мг ; 20 шт,таблетки,нимесулид,"боль и воспаление при заболеваниях суставов, мышц и мягких тканей",,Суставы и мышцы / Боль и воспаление
Нимесулид таб,100мг ; 20 шт,таблетки,нимесулид,"боль и воспаление при заболеваниях суставов, мышц и мягких тканей",,Суставы и мышцы / Боль и воспаление
Нимесулид таб,100мг ; 30 шт,таблетки,нимесулид,"боль и воспаление при заболеваниях суставов, мышц и мягких тканей",,Суставы и мышцы / Боль и воспаление
Нимесулид таб,100мг ; 30 шт,таблетки,нимесулид,"боль и воспаление при заболеваниях суставов, мышц и мягких тканей",,Суставы и мышцы / Боль и воспаление
Нимесулид-ЛекТ таб,100 мг ; 20 шт,таблетки,нимесулид,"боль и воспаление при заболеваниях суставов, мышц и мягких тканей",,Суставы и мышцы / Боль и воспаление
Нурофен 12+ таб,200 мг ; 24 шт,таблетки,ибупрофен,боль и воспаление,,Суставы и мышцы / Боль и воспаление
Нурофен Форте таб п/об,400мг ; 12 шт,таблетки,ибупрофен,боль и воспаление,,Суставы и мышцы / Боль и воспаление
Нурофен Экспресс Форте капс,400 мг ; 30 шт,капсулы,ибупрофен,боль и воспаление,,Суставы и мышцы / Боль и воспаление
Нурофен таб,200 мг ; 10 шт,таблетки,ибупрофен,боль и воспаление,,Суставы и мышцы / Боль и воспаление
Нурофен таб,200 мг ; 20 шт,таблетки,ибупрофен,боль и воспаление,,Суставы и мышцы / Боль и воспаление
Нурофен таб,200 мг ; 30 шт,таблетки,ибупрофен,боль и воспаление,,Суставы и мышцы / Боль и воспаление
Нурофен таб п/об,200мг ; 8 шт,таблетки,ибупрофен,боль и воспаление,,Суставы и мышцы / Боль и воспаление
Метформин таблетки,500 мг ; 60 шт,таблетки,метформин,,,Диабет / Гипогликемические препараты
"Аторвастатин таблетки , Озон",20 мг ; 30 шт,таблетки,аторвастатин,,,Сердце и сосуды / Снижение холестерина
Розувастатин таблетки,20 мг ; 30 шт,таблетки,розувастатин,,,Сердце и сосуды / Снижение холестерина
Эутирокс таблетки,50 мкг ; 100 шт,таблетки,левотироксин натрия,,,Гормоны / Гормоны щитовидной железы
Метформин таблетки,1000 мг ; 60 шт,таблетки,метформин,,,Диабет / Гипогликемические препараты
Аторвастатин Медисорб таблетки,40 мг ; 60 шт,таблетки,аторвастатин,,,Сердце и сосуды / Снижение холестерина
Розувастатин-ВЕРТЕКС таблетки,10 мг ; 30 шт,таблетки,розувастатин,,,Сердце и сосуды / Снижение холестерина
Эутирокс таблетки,125 мкг ; 100 шт,таблетки,левотироксин натрия,,,Гормоны / Гормоны щитовидной железы
Метформин таблетки,850 мг ; 60 шт,таблетки,метформин,,,Диабет / Гипогликемические препараты
"Аторвастатин таблетки , Пранафарм",40 мг ; 30 шт,таблетки,аторвастатин,,,Сердце и сосуды / Снижение холестерина
Розувастатин АВВА таблетки,10 мг ; 60 шт,таблетки,розувастатин,,,Сердце и сосуды / Снижение холестерина
Эутирокс таблетки,75 мкг ; 100 шт,таблетки,левотироксин натрия,,,Гормоны / Гормоны щитовидной железы
Метфорвел таблетки,500 мг ; 60 шт,таблетки,метформин,,,Диабет / Гипогликемические препараты
Аторвастатин-Тева таблетки,10 мг ; 30 шт,таблетки,аторвастатин,,,Сердце и сосуды / Снижение холестерина
Розувастатин таблетки,20 мг ; 30 шт,таблетки,розувастатин,,,Сердце и сосуды / Снижение холестерина
Эутирокс таблетки,100 мкг ; 100 шт,таблетки,левотироксин натрия,,,Гормоны / Гормоны щитовидной железы
Метформин Пролонг-Акрихин таблетки,1000 мг ; 60 шт,таблетки,метформин,,,Диабет / Гипогликемические препараты
"Аторвастатин таблетки , Пранафарм",10 мг ; 30 шт,таблетки,аторвастатин,,,Сердце и сосуды / Снижение холестерина
Розувастатин АВВА таблетки,20 мг ; 90 шт,таблетки,розувастатин,,,Сердце и сосуды / Снижение холестерина
Эутирокс таблетки,25 мкг ; 100 шт,таблетки,левотироксин натрия,,,Гормоны / Гормоны щитовидной железы
"Метформин таблетки , Рафарма",1000 мг ; 60 шт,таблетки,метформин,,,Диабет / Гипогликемические препараты
Аторвастатин-ВЕРТЕКС таблетки,40 мг ; 30 шт,таблетки,аторвастатин,,,Сердце и сосуды / Снижение холестерина
Розувастатин таблетки,10 мг ; 30 шт,таблетки,розувастатин,,,Сердце и сосуды / Снижение холестерина
Эутирокс таблетки,112 мкг ; 100 шт,таблетки,левотироксин натрия,,,Гормоны / Гормоны щитовидной железы
Метформин Санофи таблетки,850 мг ; 60 шт,таблетки,метформин,,,Диабет / Гипогликемические препараты
Аторвастатин Реневал таблетки,20 мг ; 30 шт,таблетки,аторвастатин,,,Сердце и сосуды / Снижение холестерина
Розувастатин таблетки,20 мг ; 30 шт,таблетки,розувастатин,,,Сердце и сосуды / Снижение холестерина
Эутирокс таблетки,150 мкг ; 100 шт,таблетки,левотироксин натрия,,,Гормоны / Гормоны щитовидной железы
Метформин Лонг Канон таблетки,750 мг ; 60 шт,таблетки,метформин,,,Диабет / Гипогликемические препараты
"Аторвастатин таблетки , Пранафарм",20 мг ; 60 шт,таблетки,аторвастатин,,,Сердце и сосуды / Снижение холестерина
Розувастатин-ВЕРТЕКС таблетки,10 мг ; 90 шт,таблетки,розувастатин,,,Сердце и сосуды / Снижение холестерина
Эутирокс таблетки,88 мкг ; 100 шт,таблетки,левотироксин натрия,,,Гормоны / Гормоны щитовидной железы
Метформин Реневал таблетки,1000 мг ; 60 шт,таблетки,метформин,,,Диабет / Гипогликемические препараты
Аторвастатин таблетки,10 мг ; 30 шт,таблетки,аторвастатин,,,Сердце и сосуды / Снижение холестерина
Розувастатин Велфарм таблетки,5 мг ; 90 шт,таблетки,розувастатин,,,Сердце и сосуды / Снижение холестерина
Эутирокс таблетки,137 мкг ; 100 шт,таблетки,левотироксин натрия,,,Гормоны / Гормоны щитовидной железы
Метформин Канон таблетки,1000 мг ; 60 шт,таблетки,метформин,,,Диабет / Гипогликемические препараты
Аторвастатин таблетки,20 мг ; 30 шт,таблетки,аторвастатин,,,Сердце и сосуды / Снижение холестерина
"Розувастатин таблетки , Озон",20 мг ; 30 шт,таблетки,розувастатин,,,Сердце и сосуды / Снижение холестерина
Канефрон Н таблетки,60 шт,таблетки,золототысячника трава + любистока корни + розмарина листья,,,Почки и мочевой пузырь / Инфекции мочевого пузыря и почек
Фурагин таблетки,50 мг ; 30 шт,таблетки,фуразидин,,,Почки и мочевой пузырь / Инфекции мочевого пузыря и почек
Монурал гранулы саше,3 г ; 2 шт,гранулы,фосфомицин,,,Почки и мочевой пузырь / Инфекции мочевого пузыря и почек
Цистон таблетки,100 шт,таблетки,растительный комплекс,,,Почки и мочевой пузырь / Мочекаменная болезнь
Канефрон Н таблетки,120 шт,таблетки,золототысячника трава + любистока корни + розмарина листья,,,Почки и мочевой пузырь / Инфекции мочевого пузыря и почек
Фурагин таблетки,50 мг ; 30 шт,таблетки,фуразидин,,,Почки и мочевой пузырь / Инфекции мочевого пузыря и почек
Монурал гранулы саше,3 г ; 1 шт,гранулы,фосфомицин,,,Почки и мочевой пузырь / Инфекции мочевого пузыря и почек
Канефрон Н раствор,100 мл,раствор,золототысячника трава + любистока корни + розмарина листья,,,Почки и мочевой пузырь / Инфекции мочевого пузыря и почек
"Фурагин таблетки , ЮжФарм",50 мг ; 30 шт,таблетки,фуразидин,,,Почки и мочевой пузырь / Инфекции мочевого пузыря и почек
Фурагин таблетки,50 мг ; 30 шт,таблетки,фуразидин,,,Почки и мочевой пузырь / Инфекции мочевого пузыря и почек
Цистокипер таблетки,100 шт,таблетки,растительный комплекс,,,Почки и мочевой пузырь / Мочекаменная болезнь
Фурагин Авексима таблетки,50 мг ; 30 шт,таблетки,фуразидин,,,Почки и мочевой пузырь / Инфекции мочевого пузыря и почек
Фурагин таблетки,50 мг ; 30 шт,таблетки,фуразидин,,,Почки и мочевой пузырь / Инфекции мочевого пузыря и почек
Фосфомицин-Тева гранулы пак,3 г ; 1 шт,гранулы,фосфомицин,,,Почки и мочевой пузырь / Инфекции мочевого пузыря и почек
Цистэль Пренатал капсулы,30 шт,капсулы,D-манноза + магний,,,Почки и мочевой пузырь / Профилактика заболеваний почек и мочевого пузыря
Фосфомицин-Тева гранулы пак,3 г ; 2 шт,гранулы,фосфомицин,,,Почки и мочевой пузырь / Инфекции мочевого пузыря и почек
Бинефрон УРО капсулы,60 шт,капсулы,хвощ полевой + любисток + золототысячник + розмарин,,,Почки и мочевой пузырь / Инфекции мочевого пузыря и почек
Фурагин-Алиум таблетки,50 мг ; 30 шт,таблетки,фуразидин,,,Почки и мочевой пузырь / Инфекции мочевого пузыря и почек
Экофомурал гранулы пак,3 г ; 1 шт,гранулы,фосфомицин,,,Почки и мочевой пузырь / Инфекции мочевого пузыря и почек
Комбонефрон таблетки,60 шт,таблетки,золототысячника трава + любистока корни + розмарина листья,,,Почки и мочевой пузырь / Инфекции мочевого пузыря и почек
Фурагин-ЛекТ таблетки,50 мг ; 30 шт,таблетки,фуразидин,,,Почки и мочевой пузырь / Инфекции мочевого пузыря и почек
Фосфомицин порошок пак,3 г ; 1 шт,,фосфомицин,,,Почки и мочевой пузырь / Инфекции мочевого пузыря и почек
Монуфрон таблетки,60 шт,таблетки,растительный комплекс,,,Почки и мочевой пузырь / Инфекции мочевого пузыря и почек
Фурагин-СЗ таблетки,50 мг ; 30 шт,таблетки,фуразидин,,,Почки и мочевой пузырь / Инфекции мочевого пузыря и почек
Фосфомицин порошок пак,3 г ; 1 шт,,фосфомицин,,,Почки и мочевой пузырь / Инфекции мочевого пузыря и почек
Дюфастон таблетки,10 мг ; 20 шт,таблетки,дидрогестерон,,,Акушерство и гинекология / Половые гормоны и их антагонисты
Утрожестан капсулы,200 мг ; 14 шт,капсулы,прогестерон,,,Акушерство и гинекология / Половые гормоны и их антагонисты
Пимафуцин суппозитории вагинальные,100 мг ; 3 шт,суппозитории вагинальные,натамицин,,,Акушерство и гинекология / Молочница
Тержинан таблетки вагинальные,10 шт,таблетки вагинальные,тернидазол + неомицин + нистатин + преднизолон,,,Акушерство и гинекология / Инфекции
Дюфастон таблетки,10 мг ; 28 шт,таблетки,дидрогестерон,,,Акушерство и гинекология / Половые гормоны и их антагонисты
Утрожестан капсулы вагинальные,300 мг ; 14 шт,капсулы вагинальные,прогестерон,,,Акушерство и гинекология / Половые гормоны и их антагонисты
Пимафуцин таблетки,100 мг ; 20 шт,таблетки,натамицин,,,Грибок / Препараты для лечения кандидозов
Тержинан таблетки вагинальные,6 шт,таблетки вагинальные,тернидазол + неомицин + нистатин + преднизолон,,,Акушерство и гинекология / Инфекции
Дюфастон таблетки,10 мг ; 84 шт,таблетки,дидрогестерон,,,Акушерство и гинекология / Половые гормоны и их антагонисты
Утрожестан капсулы вагинальные,400 мг ; 14 шт,капсулы вагинальные,прогестерон,,,Акушерство и гинекология / Половые гормоны и их антагонисты
Пимафуцин суппозитории вагинальные,100 мг ; 6 шт,суппозитории вагинальные,натамицин,,,Акушерство и гинекология / Молочница
Дюфастон таблетки,10 мг ; 112 шт,таблетки,дидрогестерон,,,Акушерство и гинекология / Половые гормоны и их антагонисты
Утрожестан капсулы,100 мг ; 28 шт,капсулы,прогестерон,,,Акушерство и гинекология / Половые гормоны и их антагонисты
Пимафуцин крем,2% ; 30 г,крем,натамицин,,,Грибок / Грибок кожи
ДляЖенс дюфа таблетки,10 мг ; 28 шт,таблетки,дидрогестерон,,,Акушерство и гинекология / Половые гормоны и их антагонисты
Дидроменс таблетки,10 мг ; 28 шт,таблетки,дидрогестерон,,,Акушерство и гинекология / Половые гормоны и их антагонисты
Полижинакс Вирго эмульсия для интравагинального введения,,эмульсия,неомицин + полимиксин B + нистатин,,,Акушерство и гинекология / Инфекции
Отипакс капли ушные,16 г,капли ушные,лидокаин + феназон,,,Простуда и грипп / Средства при отитах
Полидекса капли ушные,"10,5 мл",капли ушные,дексаметазон + неомицин + полимиксин B,,,Простуда и грипп / Средства при отитах
Офтальмоферон капли глазные,10 мл,капли глазные,интерферон альфа-2b + дифенгидрамин,,,Офтальмология / Вирусные глазные инфекции
Сигницеф капли глазные,"0,5% ; 5 мл",капли глазные,левофлоксацин,,,Офтальмология / Глазные инфекции
Полидекса с фенилэфрином спрей назальный,15 мл,спрей назальный,дексаметазон + неомицин + полимиксин B + фенилэфрин,,,Простуда и грипп / Насморк
Интерферон-Офтальмо капли глазные + /мл,10000 МЕ/мл ; 1 мг ; 15 мл,капли глазные,интерферон альфа-2b + дифенгидрамин,,,Офтальмология / Вирусные глазные инфекции
Сигницеф Плюс капли глазные,5 мл,капли глазные,кеторолак + левофлоксацин,,,Офтальмология / Глазные инфекции
Отирелакс капли ушные,15 мл,капли ушные,лидокаин + феназон,,,Простуда и грипп / Средства при отитах
Отилор капли ушные,16 г,капли ушные,лидокаин + феназон,,,Простуда и грипп / Средства при отитах
Интерферон-Офтальмо капли глазные + /мл,10000 МЕ/мл ; 1 мг,капли глазные,интерферон альфа-2b + дифенгидрамин,,,Офтальмология / Вирусные глазные инфекции
Отиндол капли ушные,15 мл,капли ушные,борная кислота + прокаин,,,Простуда и грипп / Средства при отитах
Панавир капли глазные /мл,"0,04 мг ; 10 мл",капли глазные,полисахариды побегов Solanum tuberosum,,,Офтальмология / Вирусные глазные инфекции
Актипол-М капли глазные,"0,007% ; 5 мл",капли глазные,пара-аминобензойная кислота,,,Офтальмология / Вирусные глазные инфекции
Максиколд Ототита капли ушные,15 мл,капли ушные,феназон + лидокаин,,,Простуда и грипп / Средства при отитах
Эксинта капли глазные,"0,007% ; 5 мл",капли глазные,пара-аминобензойная кислота,,,Офтальмология / Вирусные глазные инфекции
Лоротокс капли ушные,16 г,капли ушные,лидокаин + феназон,,,Простуда и грипп / Средства при отитах
Синусэфрин спрей назальный,15 мл,спрей назальный,дексаметазон + неомицин + полимиксин B + фенилэфрин,,,Простуда и грипп / Насморк
Фелисанс капли ушные,16 г,капли ушные,лидокаин + феназон,,,Простуда и грипп / Средства при отитах
Эликвис таблетки,"2,5 мг ; 20 шт",таблетки,апиксабан,,,Кровь / Разжижение крови
Ксарелто таблетки,20 мг ; 28 шт,таблетки,ривароксабан,,,Кровь / Разжижение крови
Тауфон капли глазные,4% ; 10 мл,капли глазные,таурин,,,Офтальмология / Катаракта
Эмоксипин капли глазные,1% ; 10 мл,капли глазные,метилэтилпиридинол,,,Офтальмология / Восстановление роговицы
Эликвис таблетки,5 мг ; 60 шт,таблетки,апиксабан,,,Кровь / Разжижение крови
Ксарелто таблетки,10 мг ; 30 шт,таблетки,ривароксабан,,,Кровь / Разжижение крови
Тауфон капли глазные фл,4% ; 10 мл ; 3 шт,капли глазные,таурин,,,Офтальмология / Катаракта
"Эмоксипин капли глазные , Фармстандарт",1% ; 5 мл,капли глазные,метилэтилпиридинол,,,Офтальмология / Восстановление роговицы
Эликвис таблетки,"2,5 мг ; 60 шт",таблетки,апиксабан,,,Кровь / Разжижение крови
Ксарелто таблетки,15 мг ; 28 шт,таблетки,ривароксабан,,,Кровь / Разжижение крови
Эмоксипин капли глазные,1% ; 5 мл,капли глазные,метилэтилпиридинол,,,Офтальмология / Восстановление роговицы
Эликвис таблетки,5 мг ; 20 шт,таблетки,апиксабан,,,Кровь / Разжижение крови
Ксарелто таблетки,"2,5 мг ; 56 шт",таблетки,ривароксабан,,,Кровь / Разжижение крови
Эмоксипин раствор для инъекций /мл амп,10 мг ; 1 мл ; 10 шт,раствор для инъекций,метилэтилпиридинол,,,Сердце и сосуды / Питание миокарда
Ксарелто таблетки,20 мг ; 98 шт,таблетки,ривароксабан,,,Кровь / Разжижение крови
Эмоксипин Нео капли глазные тюб-кап,"1% ; 0,5 мл ; 10 шт",капли глазные,метилэтилпиридинол,,,Офтальмология / Восстановление роговицы
Ксарелто таблетки,10 мг ; 98 шт,таблетки,ривароксабан,,,Кровь / Разжижение крови
Эмоксипин Нео капли глазные,1% ; 5 мл,капли глазные,метилэтилпиридинол,,,Офтальмология / Восстановление роговицы
Ксарелто гранулы для суспензии /мл,1 мг ; 50 мл,суспензия,ривароксабан,,,Кровь / Разжижение крови
Ксарелто таблетки,"2,5 мг ; 98 шт",таблетки,ривароксабан,,,Кровь / Разжижение крови
Ксарелто таблетки,15 мг ; 98 шт,таблетки,ривароксабан,,,Кровь / Разжижение крови
Эмокси-Оптик капли глазные,1% ; 5 мл,капли глазные,метилэтилпиридинол,,,Офтальмология / Восстановление роговицы
Ксарелто гранулы для суспензии /мл,1 мг ; 100 мл,суспензия,ривароксабан,,,Кровь / Разжижение крови
L-Тироксин 50 Берлин-Хеми таблетки,50 мкг ; 50 шт,таблетки,левотироксин натрия,,,Гормоны / Гормоны щитовидной железы
Тирозол таблетки,5 мг ; 50 шт,таблетки,тиамазол,,,Гормоны / Гормоны щитовидной железы
Сиофор 1000 таблетки,1000 мг ; 60 шт,таблетки,метформин,,,Диабет / Гипогликемические препараты
Глюкофаж Лонг таблетки,750 мг ; 60 шт,таблетки,метформин,,,Диабет / Гипогликемические препараты
L-Тироксин таблетки,100 мкг ; 100 шт,таблетки,левотироксин натрия,,,Гормоны / Гормоны щитовидной железы
Тирозол таблетки,10 мг ; 50 шт,таблетки,тиамазол,,,Гормоны / Гормоны щитовидной железы
Сиофор 500 таблетки,500 мг ; 60 шт,таблетки,метформин,,,Диабет / Гипогликемические препараты
Глюкофаж Лонг таблетки,1000 мг ; 60 шт,таблетки,метформин,,,Диабет / Гипогликемические препараты
L-Тироксин 125 Берлин-Хеми таблетки,125 мкг ; 100 шт,таблетки,левотироксин натрия,,,Гормоны / Гормоны щитовидной железы
Сиофор 850 таблетки,850 мг ; 60 шт,таблетки,метформин,,,Диабет / Гипогликемические препараты
Глюкофаж Лонг таблетки,500 мг ; 60 шт,таблетки,метформин,,,Диабет / Гипогликемические препараты
L-Тироксин 100 Берлин-Хеми таблетки,100 мкг ; 100 шт,таблетки,левотироксин натрия,,,Гормоны / Гормоны щитовидной железы
Сиофор Лонг таблетки,1000 мг ; 60 шт,таблетки,метформин,,,Диабет / Гипогликемические препараты
Глюкофаж Лонг таблетки,1000 мг ; 30 шт,таблетки,метформин,,,Диабет / Гипогликемические препараты
L-Тироксин таблетки,50 мкг ; 50 шт,таблетки,левотироксин натрия,,,Гормоны / Гормоны щитовидной железы
Мерказолил таблетки,5 мг ; 50 шт,таблетки,тиамазол,,,Гормоны / Гормоны щитовидной железы
Сиофор Лонг таблетки,750 мг ; 60 шт,таблетки,метформин,,,Диабет / Гипогликемические препараты
Глюкофаж Лонг таблетки,500 мг ; 30 шт,таблетки,метформин,,,Диабет / Гипогликемические препараты
L-Тироксин Реневал таблетки,100 мкг ; 56 шт,таблетки,левотироксин натрия,,,Гормоны / Гормоны щитовидной железы
Сиофор Лонг таблетки,500 мг ; 60 шт,таблетки,метформин,,,Диабет / Гипогликемические препараты
Глюкофаж Лонг таблетки,750 мг ; 30 шт,таблетки,метформин,,,Диабет / Гипогликемические препараты
L-Тироксин 100 Берлин-Хеми таблетки,100 мкг ; 50 шт,таблетки,левотироксин натрия,,,Гормоны / Гормоны щитовидной железы
Глюкофаж Лонг таблетки,1000 мг ; 60 шт,таблетки,метформин,,,Диабет / Гипогликемические препараты
L-Тироксин Реневал таблетки,50 мкг ; 56 шт,таблетки,левотироксин натрия,,,Гормоны / Гормоны щитовидной железы
L-Тироксин 75 Берлин-Хеми таблетки,75 мкг ; 100 шт,таблетки,левотироксин натрия,,,Гормоны / Гормоны щитовидной железы
Глюкогамма таблетки,1000 мг ; 60 шт,таблетки,метформин,,,Диабет / Гипогликемические препараты
L-Тироксин таблетки,50 мкг ; 100 шт,таблетки,левотироксин натрия,,,Гормоны / Гормоны щитовидной железы
Омник капсулы,"0,4 мг ; 30 шт",капсулы,тамсулозин,,,Простатит и аденома / Препараты для предстательной железы
Витапрост таблетки,20 мг ; 60 шт,таблетки,простаты экстракт,,,Простатит и аденома / Препараты для предстательной железы
Простамол Уно капсулы,320 мг ; 30 шт,капсулы,экстракт плодов пальмы ползучей,,,Простатит и аденома / Препараты для предстательной железы
Детралекс таблетки,1000 мг ; 30 шт,таблетки,диосмин + гесперидин,,,Заболевания вен / Венотоники и ангиопротекторы
Омник Окас таблетки,"0,4 мг ; 30 шт",таблетки,тамсулозин,,,Простатит и аденома / Препараты для предстательной железы
Витапрост таблетки,20 мг ; 20 шт,таблетки,простаты экстракт,,,Простатит и аденома / Препараты для предстательной железы
Простамол Уно капсулы,320 мг ; 90 шт,капсулы,экстракт плодов пальмы ползучей,,,Простатит и аденома / Препараты для предстательной железы
Детралекс таблетки,500 мг ; 30 шт,таблетки,диосмин + гесперидин,,,Заболевания вен / Венотоники и ангиопротекторы
Омник капсулы,"0,4 мг ; 100 шт",капсулы,тамсулозин,,,Простатит и аденома / Препараты для предстательной железы
Витапрост суппозитории ректальные,10 мг ; 10 шт,суппозитории ректальные,простаты экстракт,,,Простатит и аденома / Препараты для предстательной железы
Простамол Уно капсулы,320 мг ; 60 шт,капсулы,экстракт плодов пальмы ползучей,,,Простатит и аденома / Препараты для предстательной железы
Детралекс таблетки,1000 мг ; 60 шт,таблетки,диосмин + гесперидин,,,Заболевания вен / Венотоники и ангиопротекторы
Омник Окас таблетки,"0,4 мг ; 100 шт",таблетки,тамсулозин,,,Простатит и аденома / Препараты для предстательной железы
Витапрост Форте суппозитории ректальные,20 мг ; 20 шт,суппозитории ректальные,простаты экстракт,,,Почки и мочевой пузырь / Недержание мочи
Детралекс таблетки,1000 мг ; 18 шт,таблетки,диосмин + гесперидин,,,Заболевания вен / Венотоники и ангиопротекторы
Омник капсулы,"0,4 мг ; 10 шт",капсулы,тамсулозин,,,Простатит и аденома / Препараты для предстательной железы
Витапрост Форте суппозитории ректальные,20 мг ; 10 шт,суппозитории ректальные,простаты экстракт,,,Простатит и аденома / Препараты для предстательной железы
Детралекс суспензия для приема внутрь,1000 мг/10 мл ; 30 шт,суспензия,диосмин + гесперидин,,,Заболевания вен / Венотоники и ангиопротекторы
Омник Окас таблетки,"0,4 мг ; 10 шт",таблетки,тамсулозин,,,Простатит и аденома / Препараты для предстательной железы
Витапрост Плюс суппозитории ректальные,10 шт,суппозитории ректальные,простаты экстракт + ломефлоксацин,,,Простатит и аденома / Препараты для предстательной железы
Детралекс таблетки,500 мг ; 60 шт,таблетки,диосмин + гесперидин,,,Заболевания вен / Венотоники и ангиопротекторы
Тамсулозин-OBL капсулы,"0,4 мг ; 30 шт",капсулы,тамсулозин,,,Простатит и аденома / Препараты для предстательной железы
Простатилен суппозитории ректальные,3 мг ; 10 шт,суппозитории ректальные,простаты экстракт,,,Простатит и аденома / Препараты для предстательной железы
Тамсулозин капсулы,"0,4 мг ; 90 шт",капсулы,тамсулозин,,,Простатит и аденома / Препараты для предстательной железы
Детрагель гель,80 г,гель,гепарин натрия + эссенциальные фосфолипиды + эсцин,,,Заболевания вен / Венотоники и ангиопротекторы
Венарус таблетки +,100 мг ; 900 мг ; 60 шт,таблетки,гесперидин + диосмин,,,Заболевания вен / Венотоники и ангиопротекторы
Флебодиа 600 таблетки,600 мг ; 60 шт,таблетки,диосмин,,,Заболевания вен / Венотоники и ангиопротекторы
Форсига таблетки,10 мг ; 30 шт,таблетки,дапаглифлозин,,,Диабет / Гипогликемические препараты
Диабетон МВ таблетки,60 мг ; 30 шт,таблетки,гликлазид,,,Диабет / Гипогликемические препараты
Венарус таблетки +,100 мг ; 900 мг ; 30 шт,таблетки,гесперидин + диосмин,,,Заболевания вен / Венотоники и ангиопротекторы
Флебодиа 600 таблетки,600 мг ; 18 шт,таблетки,диосмин,,,Заболевания вен / Венотоники и ангиопротекторы
Форсига таблетки,10 мг ; 90 шт,таблетки,дапаглифлозин,,,Диабет / Гипогликемические препараты
Венарус таблетки +,50 мг ; 450 мг ; 60 шт,таблетки,гесперидин + диосмин,,,Заболевания вен / Венотоники и ангиопротекторы
Флебодиа 600 таблетки,600 мг ; 30 шт,таблетки,диосмин,,,Заболевания вен / Венотоники и ангиопротекторы
Венарус гель для ног,100 г,гель,троксерутин + аргинин,,,Заболевания вен / Венотоники и ангиопротекторы
Флебодиа 600 таблетки,600 мг ; 15 шт,таблетки,диосмин,,,Заболевания вен / Венотоники и ангиопротекторы
Венарус таблетки +,50 мг ; 450 мг ; 60 шт,таблетки,гесперидин + диосмин,,,Заболевания вен / Венотоники и ангиопротекторы
Флебодиа крем-гель для ног,50 мл,крем-гель,диосмин,,,Заболевания вен / Венотоники и ангиопротекторы
Венарус таблетки +,1000 мг ; 30 шт ; 15 шт,таблетки,гесперидин + диосмин,,,Заболевания вен / Венотоники и ангиопротекторы
Флебодиа крем-гель для ног,100 мл,крем-гель,диосмин,,,Заболевания вен / Венотоники и ангиопротекторы
Венарус таблетки +,50 мг ; 450 мг ; 30 шт,таблетки,гесперидин + диосмин,,,Заболевания вен / Венотоники и ангиопротекторы
Венарус гель для ног,40 г,гель,троксерутин + аргинин,,,Заболевания вен / Венотоники и ангиопротекторы
Пантопразол таблетки,20 мг ; 28 шт,таблетки,пантопразол,,,Пищеварительный тракт / Противоязвенные
Рабепразол-СЗ капсулы,20 мг ; 28 шт,капсулы,рабепразол,,,Пищеварительный тракт / Противоязвенные
Урсосан капсулы,250 мг ; 50 шт,капсулы,урсодезоксихолевая кислота,,,Пищеварительный тракт / Гепатопротекторы
Урсофальк капсулы,250 мг ; 100 шт,капсулы,урсодезоксихолевая кислота,,,Пищеварительный тракт / Гепатопротекторы
Пантопразол-Акрихин таблетки,20 мг ; 30 шт,таблетки,пантопразол,,,Пищеварительный тракт / Противоязвенные
Рабепразол-СЗ капсулы,10 мг ; 28 шт,капсулы,рабепразол,,,Пищеварительный тракт / Противоязвенные
Урсосан капсулы,250 мг ; 100 шт,капсулы,урсодезоксихолевая кислота,,,Пищеварительный тракт / Гепатопротекторы
Урсофальк таблетки,500 мг ; 50 шт,таблетки,урсодезоксихолевая кислота,,,Пищеварительный тракт / Гепатопротекторы
Пантопразол-Акрихин таблетки,40 мг ; 30 шт,таблетки,пантопразол,,,Пищеварительный тракт / Противоязвенные
Рабепразол таблетки,20 мг ; 30 шт,таблетки,рабепразол,,,Пищеварительный тракт / Противоязвенные
Урсосан капсулы,250 мг ; 10 шт,капсулы,урсодезоксихолевая кислота,,,Пищеварительный тракт / Гепатопротекторы
Урсофальк капсулы,250 мг ; 50 шт,капсулы,урсодезоксихолевая кислота,,,Пищеварительный тракт / Гепатопротекторы
Пантопразол таблетки,20 мг ; 28 шт,таблетки,пантопразол,,,Пищеварительный тракт / Противоязвенные
Рабепразол-ВЕРТЕКС капсулы,10 мг ; 28 шт,капсулы,рабепразол,,,Пищеварительный тракт / Противоязвенные
